"","Transect","Plot","Replicate","Date","Time","Observer","Sky","Wind","BirdNumber","Period","Minute","Species","Sex","DetectionMethod","Distance","NewRecord","CounterSing"
"161",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,23,3,9,"OVEN","M","S",1,0,0
"162",830,351,0,"5/21/2015","5:45:00 AM","DJW",2,1,1,1,1,"BLBW","M","S",1,1,0
"163",830,351,0,"5/21/2015","5:45:00 AM","DJW",2,1,2,1,1,"BTBW","M","S",1,1,0
"165",830,351,0,"5/21/2015","5:45:00 AM","DJW",2,1,4,2,4,"BTBW","M","S",1,0,0
"169",830,351,0,"5/21/2015","5:45:00 AM","DJW",2,1,9,3,7,"BTBW","M","S",1,0,0
"171",830,351,0,"5/21/2015","5:45:00 AM","DJW",2,1,11,3,7,"BLBW","M","S",1,0,1
"173",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,1,1,1,"OVEN","M","V",1,1,0
"174",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,2,1,1,"OVEN","F","V",1,1,0
"175",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,3,1,1,"OVEN","M","S",1,1,1
"176",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,4,1,1,"REVI","M","S",1,1,0
"177",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,5,1,1,"BTNW","M","S",1,1,0
"179",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,11,2,3,"OVEN","F","V",1,0,0
"180",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,12,2,3,"OVEN","M","V",1,0,0
"181",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,14,2,3,"OVEN","M","S",1,0,0
"182",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,15,2,3,"REVI","M","S",1,0,1
"183",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,17,2,3,"BTNW","M","S",1,0,0
"185",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,19,3,6,"BTNW","M","S",1,0,1
"186",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,20,3,6,"REVI","M","S",1,0,1
"188",820,389,0,"5/21/2015","8:31:00 AM","CH",0,0,24,3,7,"OVEN","M","S",1,0,0
"190",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,0
"191",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,2,1,1,"BLBW","M","S",1,1,0
"193",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,6,2,4,"REVI","M","S",1,0,0
"194",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,8,2,4,"BLBW","M","S",1,0,0
"195",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,9,3,7,"REVI","M","S",1,0,0
"196",830,350,0,"5/21/2015","6:05:00 AM","DJW",2,1,10,3,7,"BLBW","M","S",1,0,1
"199",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,1,1,1,"OVEN","M","S",1,1,0
"200",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,2,1,1,"BTBW","M","S",1,1,1
"201",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,3,1,1,"BTBW","M","S",1,1,1
"202",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,7,1,1,"BTNW","M","S",1,1,0
"203",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,8,1,2,"REVI","M","S",1,1,1
"205",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,11,2,3,"REVI","M","S",1,0,0
"206",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,14,2,4,"BTBW","M","S",1,0,0
"207",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,15,2,4,"BTNW","M","S",1,0,0
"208",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,16,2,4,"BTNW","M","S",1,1,0
"209",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,17,2,5,"BTBW","M","S",1,0,0
"210",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,18,2,5,"OVEN","M","S",1,1,0
"211",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,19,2,5,"REVI","M","S",1,1,0
"212",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,20,2,5,"REVI","M","S",1,0,0
"213",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,22,3,6,"REVI","M","S",1,0,0
"214",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,23,3,6,"REVI","M","S",1,0,0
"215",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,24,3,7,"OVEN","M","S",1,0,0
"216",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,25,3,7,"BTNW","M","S",1,0,1
"217",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,26,3,7,"BTBW","M","S",1,0,1
"218",825,341,0,"5/21/2015","6:12:00 AM","AJS",1,1,27,3,8,"BTNW","M","S",1,0,1
"221",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,1,1,1,"BTBW","M","S",1,1,0
"223",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,4,1,1,"BLBW","M","S",1,1,0
"224",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,5,1,1,"OVEN","M","S",1,1,1
"227",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,10,2,3,"OVEN","M","S",1,0,1
"229",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,13,2,3,"BTBW","M","S",1,0,0
"230",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,14,2,3,"BLBW","M","S",1,0,0
"231",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,15,3,6,"OVEN","M","S",1,0,0
"234",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,19,3,7,"BTBW","M","S",1,0,0
"235",820,388,0,"5/21/2015","8:50:00 AM","CH",0,0,20,3,7,"BLBW","M","S",1,0,0
"236",830,349,0,"5/21/2015","6:26:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,0
"237",830,349,0,"5/21/2015","6:26:00 AM","DJW",2,1,2,1,3,"OVEN","U","V",1,1,0
"238",830,349,0,"5/21/2015","6:26:00 AM","DJW",2,1,3,1,3,"OVEN","U","V",1,1,0
"240",830,349,0,"5/21/2015","6:26:00 AM","DJW",2,1,5,2,4,"REVI","M","S",1,0,1
"243",830,349,0,"5/21/2015","6:26:00 AM","DJW",2,1,8,2,7,"OVEN","M","S",1,1,1
"245",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,1
"247",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,3,1,1,"BTBW","M","S",1,1,0
"252",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,11,2,4,"REVI","M","S",1,0,1
"256",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,15,2,4,"BTBW","M","S",1,0,0
"258",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,17,2,6,"OVEN","M","S",1,0,0
"259",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,19,3,7,"REVI","M","S",1,0,1
"265",830,348,0,"5/21/2015","6:47:00 AM","DJW",2,1,26,3,9,"BLBW","M","S",1,0,0
"266",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,3,1,1,"OVEN","M","S",1,1,1
"268",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,5,1,1,"BTBW","M","S",1,1,0
"270",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,9,2,3,"OVEN","M","S",1,0,1
"272",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,12,2,3,"BTBW","M","S",1,0,0
"277",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,20,3,6,"BTBW","M","S",1,0,0
"280",820,387,0,"5/21/2015","9:08:00 AM","CH",0,0,26,3,7,"OVEN","M","S",1,0,0
"282",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,1,1,1,"BTBW","M","S",1,1,0
"283",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,4,1,1,"REVI","M","S",1,1,1
"284",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,5,1,1,"REVI","M","S",1,1,1
"285",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,9,1,3,"BTBW","M","S",1,1,0
"287",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,12,2,3,"BTBW","F","V",1,1,0
"288",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,13,2,4,"BTBW","M","V",1,0,0
"289",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,15,2,5,"BTNW","M","S",1,0,1
"290",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,16,2,5,"REVI","M","S",1,0,1
"291",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,17,2,5,"BLBW","M","S",1,1,1
"292",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,18,2,6,"REVI","M","S",1,0,1
"294",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,21,3,6,"BTNW","M","S",1,0,0
"295",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,22,3,7,"BLBW","M","S",1,0,0
"296",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,23,3,7,"BTBW","M","S",1,0,1
"297",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,24,3,7,"BTBW","M","S",1,0,1
"299",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,26,3,8,"REVI","M","S",1,1,1
"300",825,343,0,"5/21/2015","7:23:00 AM","AJS",2,0,27,3,8,"REVI","M","S",1,1,1
"301",830,347,0,"5/21/2015","7:08:00 AM","DJW",2,1,1,1,1,"OVEN","M","S",1,1,0
"307",830,347,0,"5/21/2015","7:08:00 AM","DJW",2,1,9,2,4,"REVI","M","S",1,0,1
"310",830,347,0,"5/21/2015","7:08:00 AM","DJW",2,1,12,2,4,"BLBW","M","S",1,0,0
"312",830,347,0,"5/21/2015","7:08:00 AM","DJW",2,1,16,3,7,"REVI","M","S",1,0,1
"314",830,347,0,"5/21/2015","7:08:00 AM","DJW",2,1,20,3,8,"BTNW","M","S",1,0,0
"318",820,386,0,"5/21/2015","9:24:00 AM","CH",0,0,3,1,1,"BTNW","M","S",1,1,1
"322",820,386,0,"5/21/2015","9:24:00 AM","CH",0,0,8,2,3,"REVI","M","S",1,0,0
"326",820,386,0,"5/21/2015","9:24:00 AM","CH",0,0,14,3,6,"REVI","M","S",1,0,0
"332",820,385,0,"5/21/2015","9:38:00 AM","CH",1,0,2,1,1,"BTNW","M","S",1,1,0
"335",820,385,0,"5/21/2015","9:38:00 AM","CH",1,0,6,2,3,"BTNW","M","S",1,0,0
"340",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,1
"341",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,2,1,1,"BLBW","M","S",1,1,0
"342",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,4,1,1,"BTNW","M","S",1,1,0
"343",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,5,1,1,"OVEN","M","S",1,1,0
"346",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,11,2,4,"REVI","M","S",1,0,1
"348",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,13,2,4,"OVEN","M","S",1,0,1
"350",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,15,2,4,"BLBW","M","S",1,0,0
"351",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,20,3,7,"OVEN","M","S",1,0,0
"352",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,21,3,7,"BTNW","M","S",1,0,0
"355",830,346,0,"5/21/2015","7:30:00 AM","DJW",2,1,27,3,8,"BLBW","M","S",1,0,0
"356",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,1,1,1,"REVI","M","S",1,1,1
"357",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,3,1,1,"OVEN","M","S",1,1,0
"359",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,5,1,1,"BTBW","M","V",1,1,0
"360",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,7,1,2,"BTNW","M","S",1,1,0
"362",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,9,2,3,"OVEN","M","S",1,0,1
"365",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,13,2,5,"REVI","M","S",1,0,1
"366",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,14,2,5,"BTNW","M","S",1,0,0
"367",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,15,2,6,"BTBW","M","V",1,0,0
"368",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,17,3,6,"REVI","M","S",1,0,1
"370",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,19,3,6,"BTBW","M","S",1,0,0
"372",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,22,3,8,"BTNW","M","S",1,0,0
"373",825,334,0,"5/21/2015","8:09:00 AM","AJS",1,0,23,3,9,"BLBW","M","S",1,1,0
"375",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,2,1,1,"BTNW","M","S",1,1,1
"376",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,3,1,1,"BTNW","M","S",1,1,1
"377",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,4,1,1,"BTBW","M","S",1,1,0
"378",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,5,1,1,"REVI","M","S",1,1,0
"381",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,9,2,3,"OVEN","M","S",1,1,1
"382",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,10,2,3,"BTNW","M","S",1,0,0
"384",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,13,2,4,"BTBW","M","S",1,0,0
"387",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,18,2,6,"REVI","M","S",1,0,0
"388",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,19,3,6,"OVEN","M","S",1,0,0
"389",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,20,3,6,"BTNW","M","S",1,0,0
"390",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,21,3,7,"BTBW","M","S",1,0,0
"391",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,22,3,7,"BTNW","M","S",1,0,0
"392",820,333,0,"5/21/2015","8:26:00 AM","AJS",1,1,23,3,8,"REVI","M","S",1,0,0
"394",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,1,1,1,"BLBW","M","S",1,1,1
"396",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,4,1,1,"BTNW","M","S",1,1,0
"398",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,7,1,2,"REVI","M","S",1,1,1
"399",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,11,2,4,"REVI","M","S",1,0,0
"400",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,12,2,4,"BLBW","M","S",1,0,1
"402",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,15,2,5,"BTNW","M","S",1,1,0
"404",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,17,2,5,"BLBW","M","S",1,1,1
"406",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,19,3,7,"REVI","M","S",1,0,1
"407",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,20,3,7,"BLBW","M","S",1,0,1
"409",830,353,0,"5/21/2015","8:05:00 AM","DJW",2,1,22,3,8,"BLBW","M","S",1,0,1
"411",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,1,1,1,"OVEN","M","S",1,1,1
"412",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,2,1,1,"REVI","M","S",1,1,1
"416",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,7,1,3,"BTNW","M","S",1,0,1
"418",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,9,2,3,"BTNW","M","S",1,0,1
"419",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,11,2,4,"REVI","M","S",1,0,0
"424",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,16,3,6,"REVI","M","S",1,0,0
"425",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,17,3,7,"OVEN","M","S",1,0,1
"428",820,332,0,"5/21/2015","8:43:00 AM","AJS",1,1,22,3,8,"BTNW","M","S",1,0,1
"430",830,354,0,"5/21/2015","8:20:00 AM","DJW",1,1,2,1,1,"BTBW","M","S",1,1,0
"431",830,354,0,"5/21/2015","8:20:00 AM","DJW",1,1,8,3,10,"BLBW","M","S",1,1,0
"432",830,397,0,"5/21/2015","8:55:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,1
"436",830,397,0,"5/21/2015","8:55:00 AM","DJW",2,1,6,1,2,"REVI","M","S",1,1,1
"449",830,398,0,"5/21/2015","9:10:00 AM","DJW",2,1,1,1,1,"REVI","M","S",1,1,1
"450",830,398,0,"5/21/2015","9:10:00 AM","DJW",2,1,2,1,1,"REVI","M","S",1,1,1
"460",830,398,0,"5/21/2015","9:10:00 AM","DJW",2,1,18,2,6,"BTBW","M","S",1,0,0
"462",830,398,0,"5/21/2015","9:10:00 AM","DJW",2,1,20,3,7,"REVI","M","S",1,0,1
"467",820,331,0,"5/21/2015","9:02:00 AM","AJS",1,1,3,1,1,"REVI","M","S",1,1,1
